"id","leg_id","rank_code","count","eco_load_id","domain"
"213","815276","CPT","0","NULL","FC"
"307","816210","CPT","1","NULL","FC"
"308","816210","FO","1","NULL","FC"
"231","815286","CPT","1","NULL","FC"
"232","815286","FO","1","NULL","FC"
"319","816197","CPT","0","NULL","FC"
"320","816197","FO","0","NULL","FC"
"323","816197","CPTR","0","NULL","FC"
"371","1198961","CPT","0","NULL","FC"
"372","1198961","FO","0","NULL","FC"
"395","1330155","CPT2","0","NULL","FC"
"396","1330155","CPTR","0","NULL","FC"
"397","1330155","FO2","0","NULL","FC"
"398","1330162","CPT2","0","NULL","FC"
"399","1330162","CPTR","0","NULL","FC"
"400","1330162","FO2","0","NULL","FC"
"368","1186991","CPTR","0","NULL","FC"
"369","1186991","CPT","0","NULL","FC"
"370","1186991","FO","0","NULL","FC"
