"id","arrival_airport_code","arrival_airport_terminal","change_date","deadhead","departure_airport_code","departure_airport_terminal","airline_designator","aircraft_type","number","operational_suffix","leg_sequence_number","onward_carrier","onward_flight","onward_suffix","plan_arrival_date_utc","plan_departure_date_utc","service_type","status","route_id","ofp_time_start_utc","ofp_time_end_utc","code_sharing","aircraft_reg_num","estim_blockoff_time_utc","estim_blockon_time_utc","actual_departure_date_utc","actual_arrival_date_utc","onward_flight_date","warning_status","warning_status_time","date_eng_on_utc","date_eng_off_utc","special_status","version_id","start_date_utc","comment","action_type","change_source","modification_id","class_config","leg_oper_schedule_status","flight_time","user_id","smak_id"
"1297735","SVO","B","2023-04-26T15:05:47.546442","NULL","MRV","NULL","SU","32N","1313","NULL","1","NULL","NULL","NULL","2022-12-17T19:15:00","2022-12-17T15:35:00","J","ACTIVE","139018035475460002","2022-12-17T19:15:00","2022-12-18T19:14:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-17T03:00:00","NULL","NEW","SSIM","65","C12,Y144","NULL","NULL","NULL","NULL"
"1297736","SVO","B","2023-04-26T15:05:47.546442","NULL","MRV","NULL","SU","32N","1313","NULL","1","NULL","NULL","NULL","2022-12-18T19:15:00","2022-12-18T15:35:00","J","ACTIVE","139018035475460003","2022-12-18T19:15:00","2022-12-19T19:14:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-18T03:00:00","NULL","NEW","SSIM","65","C12,Y144","NULL","NULL","NULL","NULL"
"1297737","SVO","B","2023-04-26T15:05:47.546442","NULL","MRV","NULL","SU","32N","1313","NULL","1","NULL","NULL","NULL","2022-12-19T19:15:00","2022-12-19T15:35:00","J","ACTIVE","139018035475460004","2022-12-19T19:15:00","2022-12-20T19:14:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-19T03:00:00","NULL","NEW","SSIM","65","C12,Y144","NULL","NULL","NULL","NULL"
"1297738","SVO","B","2023-04-26T15:05:47.546442","NULL","MRV","NULL","SU","32N","1313","NULL","1","NULL","NULL","NULL","2022-12-20T19:15:00","2022-12-20T15:35:00","J","ACTIVE","139018035475460005","2022-12-20T19:15:00","2022-12-21T19:14:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-20T03:00:00","NULL","NEW","SSIM","65","C12,Y144","NULL","NULL","NULL","NULL"
"1297739","SVO","B","2023-04-26T15:05:47.546442","NULL","MRV","NULL","SU","32N","1313","NULL","1","NULL","NULL","NULL","2022-12-21T19:15:00","2022-12-21T15:35:00","J","ACTIVE","139018035475460006","2022-12-21T19:15:00","2022-12-22T19:14:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-21T03:00:00","NULL","NEW","SSIM","65","C12,Y144","NULL","NULL","NULL","NULL"
"1297740","SVO","B","2023-04-26T15:05:47.546442","NULL","MRV","NULL","SU","32N","1313","NULL","1","NULL","NULL","NULL","2022-12-22T19:15:00","2022-12-22T15:35:00","J","ACTIVE","139018035475460007","2022-12-22T19:15:00","2022-12-23T19:14:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-22T03:00:00","NULL","NEW","SSIM","65","C12,Y144","NULL","NULL","NULL","NULL"
"1297741","SVO","B","2023-04-26T15:05:47.546442","NULL","MRV","NULL","SU","32N","1313","NULL","1","NULL","NULL","NULL","2022-12-23T19:15:00","2022-12-23T15:35:00","J","ACTIVE","139018035475460008","2022-12-23T19:15:00","2022-12-24T19:14:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-23T03:00:00","NULL","NEW","SSIM","65","C12,Y144","NULL","NULL","NULL","NULL"
"1297742","SVO","B","2023-04-26T15:05:47.546442","NULL","MRV","NULL","SU","32N","1313","NULL","1","NULL","NULL","NULL","2022-12-24T19:15:00","2022-12-24T15:35:00","J","ACTIVE","139018035475460009","2022-12-24T19:15:00","2022-12-25T19:14:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-24T03:00:00","NULL","NEW","SSIM","65","C12,Y144","NULL","NULL","NULL","NULL"
"1297743","SVO","B","2023-04-26T15:05:47.546442","NULL","MRV","NULL","SU","32N","1313","NULL","1","NULL","NULL","NULL","2022-12-25T19:15:00","2022-12-25T15:35:00","J","ACTIVE","139018035475460010","2022-12-25T19:15:00","2022-12-26T19:14:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-25T03:00:00","NULL","NEW","SSIM","65","C12,Y144","NULL","NULL","NULL","NULL"
"1297744","SVO","B","2023-04-26T15:05:47.546442","NULL","MRV","NULL","SU","32N","1313","NULL","1","NULL","NULL","NULL","2022-12-26T19:15:00","2022-12-26T15:35:00","J","ACTIVE","139018035475460011","2022-12-26T19:15:00","2022-12-27T19:14:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-26T03:00:00","NULL","NEW","SSIM","65","C12,Y144","NULL","NULL","NULL","NULL"
